Aged 3rd H,,,,,
T (K),V (mm3),,,,
690.344611,130.405619,,,,
690.604865,130.405517,,,,
690.666632,130.407058,,,,
690.995276,130.408394,,,,
691.232703,130.408702,,,,
691.373297,130.411271,,,,
691.530951,130.412401,,,,
691.460638,130.413326,,,,
691.862311,130.413532,,,,
691.970618,130.415073,,,,
692.143378,130.415073,,,,
692.250739,130.416409,,,,
692.260168,130.417539,,,,
692.715918,130.419800,,,,
692.862067,130.421547,,,,
692.983527,130.422266,,,,
693.153448,130.422472,,,,
693.332922,130.424219,,,,
693.413580,130.423808,,,,
693.518927,130.425452,,,,
693.710608,130.426685,,,,
693.948828,130.428227,,,,
694.118689,130.428432,,,,
694.131049,130.431001,,,,
694.466895,130.431721,,,,
694.536169,130.432646,,,,
694.665259,130.434290,,,,
695.020026,130.433571,,,,
695.087408,130.436243,,,,
695.441199,130.437168,,,,
695.408942,130.437270,,,,
695.673560,130.437476,,,,
696.069067,130.439942,,,,
695.845251,130.440970,,,,
696.090857,130.441279,,,,
696.345953,130.443745,,,,
696.382971,130.445184,,,,
696.595313,130.445903,,,,
696.836279,130.447240,,,,
697.098883,130.447342,,,,
697.219275,130.448678,,,,
697.457159,130.449090,,,,
697.421149,130.450631,,,,
697.666663,130.452892,,,,
697.795599,130.452995,,,,
697.971869,130.453612,,,,
698.016394,130.454742,,,,
698.327277,130.456284,,,,
698.497870,130.457312,,,,
698.604926,130.457415,,,,
698.835211,130.459676,,,,
698.942267,130.461834,,,,
699.125128,130.461115,,,,
699.290015,130.463273,,,,
699.566656,130.463582,,,,
699.549536,130.465124,,,,
699.739966,130.465843,,,,
700.039313,130.466974,,,,
700.159613,130.467488,,,,
700.294104,130.469646,,,,
700.439978,130.469749,,,,
700.541296,130.471291,,,,
700.644537,130.472216,,,,
701.159644,130.473244,,,,
701.104773,130.475402,,,,
701.353827,130.476430,,,,
701.460791,130.477664,,,,
701.608496,130.479000,,,,
701.690894,130.479925,,,,
702.026953,130.481776,,,,
702.169867,130.481364,,,,
702.195471,130.482495,,,,
702.366766,130.483831,,,,
702.522955,130.486196,,,,
702.655493,130.487018,,,,
702.802130,130.487943,,,,
703.298010,130.488252,,,,
703.297095,130.488766,,,,
703.626379,130.489793,,,,
703.520453,130.492055,,,,
703.716315,130.492363,,,,
704.000159,130.493700,,,,
704.035132,130.495036,,,,
704.209235,130.496373,,,,
704.580969,130.497298,,,,
704.598029,130.499354,,,,
704.680334,130.499149,,,,
704.921484,130.501718,,,,
705.038733,130.501616,,,,
705.246832,130.503158,,,,
705.425574,130.503569,,,,
705.716833,130.504700,,,,
705.822760,130.506139,,,,
705.977820,130.506653,,,,
706.134802,130.509532,,,,
706.379675,130.509429,,,,
