Aged 1st H,,,,,,,
T (K),V (mm3),,,,,,
690.741705,130.100013,,,,,,
690.780432,130.100733,,,,,,
690.874518,130.102583,,,,,,
691.100592,130.104023,,,,,,
691.154669,130.104845,,,,,,
691.570624,130.106284,,,,,,
691.521246,130.107209,,,,,,
691.694037,130.107518,,,,,,
692.027350,130.110191,,,,,,
692.112921,130.110602,,,,,,
692.404486,130.111013,,,,,,
692.355963,130.112658,,,,,,
692.426154,130.114303,,,,,,
692.871283,130.115434,,,,,,
693.072577,130.116564,,,,,,
692.966193,130.117593,,,,,,
693.262335,130.118415,,,,,,
693.348700,130.119237,,,,,,
693.574622,130.120574,,,,,,
693.820532,130.122322,,,,,,
693.862189,130.122938,,,,,,
694.326361,130.123247,,,,,,
694.367163,130.126023,,,,,,
694.290167,130.127154,,,,,,
694.551398,130.129004,,,,,,
694.758002,130.130444,,,,,,
695.054846,130.131575,,,,,,
694.927710,130.132089,,,,,,
695.310004,130.132911,,,,,,
695.386969,130.134659,,,,,,
695.617438,130.136201,,,,,,
695.683752,130.136510,,,,,,
695.938849,130.137435,,,,,,
696.139929,130.139697,,,,,,
696.281073,130.140520,,,,,,
696.403479,130.141754,,,,,,
696.603735,130.142473,,,,,,
696.750800,130.143193,,,,,,
696.982855,130.145558,,,,,,
697.020636,130.146380,,,,,,
697.229315,130.148026,,,,,,
697.426489,130.149259,,,,,,
697.701392,130.149362,,,,,,
697.829291,130.151213,,,,,,
697.874792,130.152344,,,,,,
698.112738,130.153064,,,,,,
698.248236,130.154812,,,,,,
698.408423,130.155840,,,,,,
698.626288,130.156766,,,,,,
698.794104,130.158514,,,,,,
698.946631,130.158617,,,,,,
699.081213,130.159851,,,,,,
699.280035,130.161599,,,,,,
699.454596,130.162216,,,,,,
699.652472,130.164889,,,,,,
699.708868,130.165815,,,,,,
699.883429,130.166740,,,,,,
700.051123,130.167563,,,,,,
700.263495,130.168283,,,,,,
700.510596,130.170031,,,,,,
700.665106,130.171059,,,,,,
700.757697,130.172191,,,,,,
700.810736,130.173219,,,,,,
700.945288,130.175173,,,,,,
701.270026,130.175893,,,,,,
701.549323,130.176613,,,,,,
701.500891,130.177435,,,,,,
701.717749,130.179183,,,,,,
701.750891,130.180623,,,,,,
702.022498,130.181240,,,,,,
702.346228,130.182783,,,,,,
702.427771,130.184017,,,,,,
702.628455,130.185354,,,,,,
702.692969,130.187616,,,,,,
702.928381,130.188542,,,,,,
703.081976,130.188645,,,,,,
703.371283,130.190188,,,,,,
703.534155,130.190804,,,,,,
703.613440,130.192142,,,,,,
703.790350,130.193787,,,,,,
703.896368,130.195947,,,,,,
704.113104,130.197387,,,,,,
704.261481,130.197592,,,,,,
704.400610,130.198826,,,,,,
704.519781,130.200164,,,,,,
704.737311,130.200678,,,,,,
704.833960,130.202324,,,,,,
705.046851,130.203455,,,,,,
705.321997,130.204792,,,,,,
705.362646,130.206129,,,,,,
705.577124,130.207775,,,,,,
705.876837,130.208186,,,,,,
705.810736,130.209420,,,,,,
706.080328,130.210963,,,,,,
706.135840,130.212198,,,,,,
706.469794,130.213843,,,,,,
706.584235,130.213740,,,,,,
706.696509,130.216312,,,,,,
706.897772,130.216415,,,,,,
707.012213,130.217546,,,,,,
707.229559,130.219398,,,,,,
707.339331,130.220426,,,,,,
707.565161,130.221249,,,,,,
707.782446,130.222072,,,,,,
708.081091,130.223718,,,,,,
707.901526,130.224129,,,,,,
708.183173,130.225981,,,,,,
708.444098,130.227009,,,,,,
708.550879,130.227421,,,,,,
708.919318,130.228758,,,,,,
708.919318,130.229992,,,,,,
709.128088,130.231227,,,,,,
709.185706,130.233181,,,,,,
709.395300,130.233901,,,,,,
709.677710,130.234827,,,,,,
709.792029,130.235856,,,,,,
709.999915,130.235753,,,,,,
710.036292,130.237399,,,,,,
710.267035,130.239662,,,,,,
710.509558,130.240794,,,,,,
710.534125,130.241925,,,,,,
710.819403,130.243263,,,,,,
710.926917,130.244703,,,,,,
711.028937,130.247480,,,,,,
711.229132,130.246760,,,,,,
711.230780,130.249126,,,,,,
711.626501,130.249847,,,,,,
711.687811,130.250464,,,,,,
711.934027,130.251081,,,,,,
712.124945,130.253036,,,,,,
712.239966,130.254887,,,,,,
712.477698,130.255093,,,,,,
712.523810,130.255299,,,,,,
712.821234,130.257254,,,,,,
712.983679,130.258386,,,,,,
713.094092,130.259414,,,,,,
713.328802,130.260135,,,,,,
713.612250,130.261678,,,,,,
713.686652,130.263838,,,,,,
713.717505,130.264764,,,,,,
713.871405,130.266308,,,,,,
714.190253,130.268365,,,,,,
714.271429,130.269703,,,,,,
714.555151,130.270731,,,,,,
714.688361,130.272172,,,,,,
714.836249,130.273201,,,,,,
714.843085,130.273715,,,,,,
714.991858,130.273818,,,,,,
715.240851,130.276082,,,,,,
715.545142,130.276802,,,,,,
715.542639,130.277522,,,,,,
715.623846,130.279065,,,,,,
715.860052,130.280095,,,,,,
716.051489,130.280815,,,,,,
716.157996,130.283387,,,,,,
716.426733,130.284005,,,,,,
716.687048,130.285754,,,,,,
716.586005,130.286371,,,,,,
716.950659,130.288429,,,,,,
717.118872,130.287915,,,,,,
717.161932,130.290075,,,,,,
717.385382,130.290795,,,,,,
